service_name,suburb,state,address,lat,lng,day,start_time,end_time,shift_status,van_asset
RAGOSS Dinner Camp,Mornington,QLD,4 Burke Street,-20.731269,139.491519,Wednesday,9:00 am,12:00 pm,Shift Status,Van Asset
Yallambee Aboriginal Reserve,Healy,QLD,Duchess Road,-20.746524,139.495311,Monday,9:00 am,12:00 pm,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Monday,7:00 am,9:00 am,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Monday,9:00 am,11:00 am,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Monday,5:30 pm,7:30 pm,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Wednesday,7:00 am,9:00 am,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Wednesday,9:00 am,11:00 am,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Wednesday,5:30 pm,7:30 pm,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Friday,7:00 am,9:00 am,Shift Status,Van Asset
Girl Guides,South Mackay,QLD,Sydney Street,-21.149917,149.185698,Friday,9:00 am,11:00 am,Shift Status,Van Asset
Sarina Neighbourhood Centre,Sarina,QLD,65 Broad Street,-21.421376,149.216527,Monday,9:00 am,11:00 am,Shift Status,Van Asset
Sarina Neighbourhood Centre,Sarina,QLD,65 Broad Street,-21.421376,149.216527,Thursday,9:00 am,11:00 am,Shift Status,Van Asset
Yuendumu,Yuendumu,NT,Yuendumu,-22.253957,131.795388,Friday,9:00 am,2:00 pm,Shift Status,Van Asset
Yuendumu,Yuendumu,NT,Yuendumu,-22.253957,131.795388,Monday,9:00 am,2:00 pm,Shift Status,Van Asset
Yuendumu,Yuendumu,NT,Yuendumu,-22.253957,131.795388,Thursday,9:00 am,2:00 pm,Shift Status,Van Asset
Yuendumu,Yuendumu,NT,Yuendumu,-22.253957,131.795388,Tuesday,9:00 am,2:00 pm,Shift Status,Van Asset
Yuendumu,Yuendumu,NT,Yuendumu,-22.253957,131.795388,Wednesday,9:00 am,2:00 pm,Shift Status,Van Asset
Salvation Army,North Rockhampton,QLD,131-137 Park Street,-23.356703,150.516821,Friday,9:00 am,11:00 am,Shift Status,Van Asset
Salvation Army,North Rockhampton,QLD,131-137 Park Street,-23.356703,150.516821,Wednesday,9:00 am,11:00 am,Shift Status,Van Asset
Alice Springs,Alice Springs,NT,Alice Springs,-23.698042,133.880747,Monday,9:00 am,1:00 pm,Shift Status,Van Asset
Alice Springs,Alice Springs,NT,Alice Springs,-23.698042,133.880747,Tuesday,9:00 am,1:00 pm,Shift Status,Van Asset
Alice Springs,Alice Springs,NT,Alice Springs,-23.698042,133.880747,Wednesday,9:00 am,1:00 pm,Shift Status,Van Asset
Alice Springs,Alice Springs,NT,Alice Springs,-23.698042,133.880747,Thursday,9:00 am,1:00 pm,Shift Status,Van Asset
Alice Springs,Alice Springs,NT,Alice Springs,-23.698042,133.880747,Friday,9:00 am,1:00 pm,Shift Status,Van Asset
Philip St Precinct Salvation Army,West Gladstone,QLD,1 Pengelly Street,-23.870521,151.251513,Tuesday,9:30 am,11:30 am,Shift Status,Van Asset
Philip St Precinct Salvation Army,West Gladstone,QLD,1 Pengelly Street,-23.870521,151.251513,Wednesday,8:30 am,11:30 am,Shift Status,Van Asset
Angels Mini Mart,Bundaberg Central,QLD,66 Targo Street,-24.868624,152.352437,Friday,10:00 am,12:00 pm,Shift Status,Van Asset
Angels Mini Mart,Bundaberg Central,QLD,66 Targo Street,-24.868624,152.352437,Monday,3:30 pm,5:30 pm,Shift Status,Van Asset
Angels Mini Mart,Bundaberg Central,QLD,66 Targo Street,-24.868624,152.352437,Thursday,3:00 pm,5:00 pm,Shift Status,Van Asset
Angels Mini Mart,Bundaberg Central,QLD,66 Targo Street,-24.868624,152.352437,Tuesday,8:00 am,11:00 am,Shift Status,Van Asset
The Food Pantry,Coolum Beach,QLD,22 Elizabeth Street,-26.528588,153.088364,Tuesday,9:00 am,12:00 pm,Shift Status,Van Asset
The Shack,Nambour,QLD,19 Price Street,-26.624578,152.957991,Monday,7:30 am,10:30 am,Shift Status,Van Asset
Daily Bread,Nambour,QLD,10 Sydney Street,-26.627801,152.960728,Monday,3:00 pm,6:00 pm,Shift Status,Van Asset
Daily Bread,Nambour,QLD,10 Sydney Street,-26.627801,152.960728,Wednesday,3:00 pm,6:00 pm,Shift Status,Van Asset
Stella Maris,Maroochydore,QLD,41 Baden Powell Street,-26.651784,153.088162,Friday,5:00 pm,7:30 pm,Shift Status,Van Asset
Maroochy Centre,Maroochydore,QLD,2 Fifth Avenue,-26.657035,153.100901,Thursday,4:00 pm,6:30 pm,Shift Status,Van Asset
Maroochy Centre,Maroochydore,QLD,2 Fifth Avenue,-26.657035,153.100901,Tuesday,3:00 pm,6:00 pm,Shift Status,Van Asset
Maleny Neighbourhood Centre,Maleny,QLD,17 Bicentenary Lane,-26.759383,152.849843,Thursday,9:00 am,12:00 pm,Shift Status,Van Asset
Maleny Neighbourhood Centre,Maleny,QLD,17 Bicentenary Lane,-26.759383,152.849843,Tuesday,9:00 am,12:00 pm,Shift Status,Van Asset
Caloundra Community Centre,Caloundra,QLD,58A Queen Street,-26.794494,153.130668,Friday,9:00 am,12:00 pm,Shift Status,Van Asset
Salvos House 4 Hope,Caloundra,QLD,4 Ormuz Avenue,-26.804138,153.134313,Wednesday,10:00 am,1:00 pm,Shift Status,Van Asset
Caboolture,Caboolture,QLD,23 Hayes Street,-27.08121,152.955972,Saturday,4:00 pm,6:00 pm,Shift Status,Van Asset
Dalby Laundromat,Dalby,QLD,143 Cunningham Street,-27.183287,151.264239,Saturday,10:00 am,12:00 pm,Shift Status,Van Asset
Dalby Laundromat,Dalby,QLD,143 Cunningham Street,-27.183287,151.264239,Wednesday,5:30 pm,7:30 pm,Shift Status,Van Asset
